tw,ch,en
潛在疑點,潜在疑点,lurking doubt
保釋條款,保释条款,terms of bail
招認,招认,confession
事實審裁者,事实审裁者,tribunal of fact
使同意失效,使同意失效,vitiation of consent
技術因素,技术因素,technicality
刑事司法體系,刑事司法体系,criminal justice system
近期投訴,近期投诉,recent complaint
令人信服的因素,令人信服的因素,cogent factor
案件的基礎事實,案件的基础事实,primary facts of the case
申請編定審訊日期,申请编定审讯日期,application to fix a date for trial
品格證明的參考資料,品格证明的参考资料,character reference
成功機會,成功机会,merits
重審,重审,heard de novo
法庭的法律程序,法庭的法律程序,curial proceedings
上訴的訟費,上诉的讼费,costs on appeal
實際風險,实际风险,real risk
取消駕駛資格令,取消驾驶资格令,disqualification order
濫用法律程序,滥用法律程序,abuse of the process
普通法特權,普通法特权,common law privilege
漠視法紀,漠视法纪,disregard of law and order
有資格……作……證人,有资格……作……证人,competent witness
上訴人,上诉人,appellant
明顯地失職,明显地失职,flagrantly incompetent
落實串謀,落实串谋,in furtherance of the conspiracy
心理專家報告,心理专家报告,psychologist's report
法定的提控時限,法定的提控时限,statute bar
簡易司法管轄權,简易司法管辖权,summary jurisdiction
法官加入控辯雙方的訟辯,法官加入控辩双方的讼辩,judge entering the arena
以不在犯罪現場為辯護,以不在犯罪现场为辩护,defence of alibi
承認罪責,承认罪责,inculpatory admission
呈述的法律問題,呈述的法律问题,stated question of law
否定的聲言,否定的声言,negative averments
作出準備……的作為,作出准备……的作为,doing an act preparatory to ...
最低要求,最低要求,threshold requirement
法律,法律,de jure
先前一貫陳述,先前一贯陈述,previous consistent statement
法定免責辯護,法定免责辩护,statutory defence
進入住宅犯入屋犯法罪,进入住宅犯入屋犯法罪,domestic burglary
推定條文,推定条文,deeming provision
串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
不根據前提的推論,不根据前提的推论,non sequitur
慫使或促致,怂使或促致,counsel or procure
有疏漏的判決,有疏漏的判决,per incuriam
以聲稱擁有權利作為辯護,以声称拥有权利作为辩护,defence of claim of right
類同事實證據,类同事实证据,similar fact evidence
技術上干犯罪行,技术上干犯罪行,technical offence
案發現場,案发现场,locus in quo
收受賭注者,收受赌注者,bookmaker
緘默權,缄默权,right to silence
慫使和促致謀殺,怂使和促致谋杀,counselling and procuring murder
有合理理由感到受屈,有合理理由感到受屈,legitimate sense of grievance
藉公職作出不當行為,藉公职作出不当行为,misconduct in public office
關於……三合會社團的……字據,关于……三合会社团的……字据,writings ... relating to ... triad society
確當辯解,确当辩解,just excuse
推論被告有罪,推论被告有罪,inference of guilt
口頭判詞,口头判词,oral judgment
辯方論據,辩方论据,defence case
以案件呈述方式提出的法律問題,以案件呈述方式提出的法律问题,case stated question
輔助證據,辅助证据,supporting evidence
適當的法律程序,适当的法律程序,due process of law
設圈套,设圈套,entrap
沒有披露,没有披露,non-disclosure
確立表面的案,确立表面的案,establish a prima facie case
公然違反,公然违反,flagrant breach
就被告人的品格作出全面指引,就被告人的品格作出全面指引,full character direction
辯方案情,辩方案情,defence case
充分證據,充分证据,substantial evidence
具有重大而廣泛的重要性的法律論點,具有重大而广泛的重要性的法律论点,point of law of great and general importance
判刑前評估專責小組,判刑前评估专责小组,pre-sentence assessment panel
不根據前提的推論,不根据前提的推论,non sequitur
犯罪紀錄,犯罪纪录,previous convictions
強行干預訴訟,强行干预诉讼,maintenance
已承認的謊言,已承认的谎言,admitted lie
分成多宗案件處理,分成多宗案件处理,sever
真實、重大而迫切的危險,真实、重大而迫切的危险,"real, substantial and imminent danger"
法律爭議,法律争议,legal argument
潛在疑點,潜在疑点,lurking doubt
宣讀裁決,宣读裁决,delivery of verdict
提起法律程序,提起法律程序,institute proceedings
撤銷控罪,撤销控罪,dismiss the charge
沒有爭議的案情,没有争议的案情,facts not in dispute
法官對陪審團的結案指引,法官对陪审团的结案指引,summing up direction
重要的聲言,重要的声言,material averment
罪行的陳述,罪行的陈述,statement of offence
法律程序……以非公開形式進行,法律程序……以非公开形式进行,proceedings ... conducted ... in camera
劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis added
自然正義法則,自然正义法则,rules of natural justice
推定管有,推定管有,constructive possession
藉公職作出不當行為,藉公职作出不当行为,misconduct in public office
污點證人,污点证人,tainted witness
加以必要的變通,加以必要的变通,mutatis mutandis
有充分理由的抱怨,有充分理由的抱怨,justifiable sense of grievance
獲法院給予證明的法律論點,获法院给予证明的法律论点,certified point of law
犯罪意念,犯罪意念,guilty mind
技術上違反法律,技术上违反法律,technical breach of the law
對辯式訴訟的司法制度,对辩式诉讼的司法制度,adversarial system of justice
無損權益的陳述,无损权益的陈述,non-prejudicial statement
主要典據,主要典据,leading authority
技術違規,技术违规,technical breach
明確認出,明确认出,positive identification
洗錢,洗钱,money laundering
輕判選擇,轻判选择,soft option
基本的判刑基準,基本的判刑基准,basic tariff in sentencing
新訂罪行不具追溯力的原則,新订罪行不具追溯力的原则,rule against retrospective incrimination
容得下……的釋義方式,容得下……的释义方式,admit of a construction
法定的免責辯護理由,法定的免责辩护理由,statutory defence
串謀作出有違公德的行為,串谋作出有违公德的行为,conspiracy to outrage public decency
不被爭議的證據,不被争议的证据,undisputed evidence
串謀非法禁錮,串谋非法禁锢,conspiracy to commit false imprisonment
心理專家報告,心理专家报告,psychologist's report
逾期上訴,逾期上诉,appeal out of time
舉證的準則,举证的准则,standard of proof
在未經宣誓的情況下……證據,在未经宣誓的情况下……证据,unsworn evidence
確立表面的案,确立表面的案,establish a prima facie case
提點記憶的文件,提点记忆的文件,document used ... to refresh ... memory
證人傳票,证人传票,witness summons
兒童在未經宣誓下所作的證供,儿童在未经宣誓下所作的证供,unsworn testimony of child
簽保以保證保持行為良好,签保以保证保持行为良好,bind over to be of good behaviour
對辯式審訊,对辩式审讯,adversarial trial
控方開審陳詞,控方开审陈词,prosecution opening
監禁刑罰,监禁刑罚,custodial sentence
商業性質的販毒,商业性质的贩毒,commercial trafficking
有版權存在,有版权存在,subsistence of copyright
獲法院證明的問題,获法院证明的问题,certified question
判刑時須考慮的事宜,判刑时须考虑的事宜,sentencing considerations
具關鍵性的裁斷,具关键性的裁断,material finding
訟費隨結果而定,讼费随结果而定,costs to follow the event
指令重審,指令重审,direct a retrial
入境事務處的旅客嫌疑人名單,入境事务处的旅客嫌疑人名单,Immigration Watch List
管有炸藥,管有炸药,possession of explosive
主觀的檢驗標準,主观的检验标准,subjective test
反對陪審員人選,反对陪审员人选,challenge of jurors
蓄意編造的謊言,蓄意编造的谎言,deliberate lie
求情的因素,求情的因素,mitigating circumstances
申請剔除上訴通知書,申请剔除上诉通知书,application to strike out notice of appeal
性格上無能力,性格上无能力,disability of personality
交付審判令,交付审判令,committal order
棄置財產,弃置财产,abandoned property
串謀強行禁錮,串谋强行禁锢,conspiracy to commit forcible detention
就幾乎必然發生的情況給予指引,就几乎必然发生的情况给予指引,virtual certainty direction
潛在風險的因素,潜在风险的因素,latent risk factor
死因不明,死因不明,open verdict
辨認在犯人欄內的被告,辨认在犯人栏内的被告,dock identification
法證科學專家/法證化驗師,法证科学专家/法证化验师,forensic scientist
以案件呈述方式提出的法律問題,以案件呈述方式提出的法律问题,case stated question
在替自己辯護時作供,在替自己辩护时作供,testify in one's own defence
同意的事實,同意的事实,agreed facts
不公平損害呈請,不公平损害呈请,unfair prejudice petition
以不在犯罪現場為辯護,以不在犯罪现场为辩护,defence of alibi
知情的旁觀者,知情的旁观者,informed bystander
屢犯者,屡犯者,recidivist
釋放,释放,discharge
口述證據,口述证据,viva voce evidence
證據薄弱,证据薄弱,tenuous evidence
查問疑犯及錄取口供的規則及指示,查问疑犯及录取口供的规则及指示,Rules and Directions for the Questioning of Suspects and the Taking of Statements
罪犯自新,罪犯自新,rehabilitation of offenders
構成罪行的不當行為,构成罪行的不当行为,culpable misconduct
檢控時限已過,检控时限已过,time-barred
[案件的]一般爭論點,[案件的]一般争论点,general issue
意見證據,意见证据,opinion evidence
申請編定審訊日期,申请编定审讯日期,application to fix a date for trial
協助及教唆,协助及教唆,aiding and abetting
判刑法官,判刑法官,sentencing judge
恰當的刑罰,恰当的刑罚,appropriate sentence
未經宣誓所作的證言,未经宣誓所作的证言,unsworn testimony
辯方證人,辩方证人,defence witness
小組認人,小组认人,group identification
總體量刑起點,总体量刑起点,overall starting point of sentence
凌駕性權益,凌驾性权益,overriding interests
證人傳票,证人传票,witness summons
誣陷,诬陷,frame up
令誠信受質疑,令诚信受质疑,discredited
交付偽製流通紙幣,交付伪制流通纸币,deliver counterfeit currency notes
以合理的努力作為免責辯護,以合理的努力作为免责辩护,defence of reasonable diligence
提出法律程序,提出法律程序,institute proceedings
判決,判决,adjudication
企圖從合法羈押逃脫,企图从合法羁押逃脱,attempt to escape from lawful custody
罪行……的嚴重程度,罪行……的严重程度,gravity of the offence
不存偏見且得到妥善指引的陪審團,不存偏见且得到妥善指引的陪审团,unprejudiced jury properly directed
可信程度的指引,可信程度的指引,credibility direction
共同串謀者,共同串谋者,co-conspirator
串謀促致年齡在21歲以下的女童與人非法性交,串谋促致年龄在21岁以下的女童与人非法性交,conspiracy to procure girls under 21 to have unlawful sexual intercourse
有防止犯罪作用的司法措施,有防止犯罪作用的司法措施,preventive justice
移審撤銷令,移审撤销令,order of certiorari
宣誓下作假證供的罪行,宣誓下作假证供的罪行,perjury
不一致的證供,不一致的证供,inconsistent testimony
履行責任令,履行责任令,order of mandamus
停牌期,停牌期,period of suspension
分歧的解決方法,分歧的解决方法,resolution of differences
造成偏見的資料,造成偏见的资料,prejudicial material
訟費評定聆訊,讼费评定聆讯,taxation hearing
企圖妨礙司法公正,企图妨碍司法公正,attempt to pervert the course of public justice
有污點的證據,有污点的证据,tainted evidence
知情和有理可依的裁決,知情和有理可依的裁决,informed and reasoned verdict
損失時間,损失时间,loss of time
不計算已服之……刑期,不计算已服之……刑期,loss of time
訴訟時效,诉讼时效,time-bar for actions
不公平損害呈請,不公平损害呈请,unfair prejudice petition
有預謀的罪行,有预谋的罪行,premeditated offence
無辜理由,无辜理由,innocent reason
法律漏洞,法律漏洞,lacuna
按彌償基準計算的訟費,按弥偿基准计算的讼费,costs on an indemnity basis
第二線的抗辯理由,第二线的抗辩理由,second line of defence
針對……命令提出上訴,针对……命令提出上诉,appeal against ... order
開脫罪責部分,开脱罪责部分,exculpatory part
初犯者,初犯者,first offenders
撤銷保釋命令,撤销保释命令,revoke order for bail
錄影會面,录影会面,video recorded interview
明確認出,明确认出,positive identification
社交性質的販毒,社交性质的贩毒,social trafficking
案情撮要,案情撮要,summary of facts
不爭事實,不争事实,undisputed facts
兒童證人的作證資格,儿童证人的作证资格,competency of a child witness
標準的指引,标准的指引,standard direction
刑罰須予擱置或減輕,刑罚须予搁置或减轻,the sentence shall be set aside or reduced
指令重審,指令重审,direct a retrial
有力的求情因素,有力的求情因素,strong mitigating circumstances
具有重大而廣泛的重要性的法律論點,具有重大而广泛的重要性的法律论点,point of law of great and general importance
宣布一項判決,宣布一项判决,handing down a judgment
交付審訊,交付审讯,committed for trial
固定刑期,固定刑期,fixed term
空洞的承認,空洞的承认,bald admission
施用藥物以獲得……非法的性行為,施用药物以获得……非法的性行为,administering drugs to obtain ... unlawful sexual act
已確立的法律,已确立的法律,settled law
全部證據,全部证据,totality of the evidence
企圖從合法羈押逃脫,企图从合法羁押逃脱,attempt to escape from lawful custody
適當的刑期基準,适当的刑期基准,appropriate starting point
案例,案例,case law
身世背景書,身世背景书,antecedent statement
不獲接納,不获接纳,inadmissible
牽連罪責的招認,牵连罪责的招认,incriminating admission
模稜兩可及意義不明的認罪,模棱两可及意义不明的认罪,equivocal plea
令人明瞭的證供,令人明了的证供,intelligible testimony
不可被強迫作證,不可被强迫作证,not compellable to give evidence
在替自己辯護時作供,在替自己辩护时作供,testify in one's own defence
重複懲處,重复惩处,double penalty
推翻……命令,推翻……命令,quash ... order
不服釋放命令的上訴,不服释放命令的上诉,appeal from order for discharge
技術性問題,技术性问题,technicality
有損信譽的作為,有损信誉的作为,discreditable act
使……不可信,使……不可信,discrediting
清醒及合理的人,清醒及合理的人,sober and reasonable people
不可接納為證據,不可接纳为证据,inadmissible in evidence
提出檢控,提出检控,initiation of prosecution
嚴格證明,严格证明,strict proof
阻止屍體被合法及適當地埋葬,阻止尸体被合法及适当地埋葬,prevention of the lawful and decent burial of a corpse
單獨囚禁,单独囚禁,solitary confinement
串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
近期管有,近期管有,recent possession
執行緩刑令,执行缓刑令,order to activate a suspended sentence
上訴得直,上诉得直,appeal allowed
沒有披露,没有披露,non-disclosure
判刑量,判刑量,quantum of sentence
作出……擾亂秩序的行為,作出……扰乱秩序的行为,behaves in a ... disorderly manner
法律指引,法律指引,direction of law
屬宣布性質的……命令,属宣布性质的……命令,declaratory ... order
一系列相關的案例,一系列相关的案例,line of authorities
整體量刑原則,整体量刑原则,the totality principle
共同策劃,共同策划,common design
控方的證據,控方的证据,prosecution evidence
較高舉證準則,较高举证准则,higher standard of proof
有合理理由感到受屈,有合理理由感到受屈,legitimate sense of grievance
串謀在賭博時作弊,串谋在赌博时作弊,conspiracy to cheat at gambling
多項控罪,多项控罪,multiple offences
量刑級別,量刑级别,sentencing band
宣讀裁決,宣读裁决,delivery of verdict
違禁行為,违禁行为,prohibited acts
轉以他罪裁決,转以他罪裁决,alternative verdicts
減刑的幅度,减刑的幅度,degree of discount
招認的可接納性,招认的可接纳性,admissibility of confession
懲罰性及阻嚇性的刑期,惩罚性及阻吓性的刑期,retributive and deterrent sentence
上訴通知書,上诉通知书,notice of appeal
已確立的判刑政策,已确立的判刑政策,settled sentencing policy
接受教化,接受教化,reformative treatment
領域外管轄權,领域外管辖权,extra-territorial jurisdiction
不可推翻的唯一推論,不可推翻的唯一推论,the only irrebuttable inference
作出準備……的作為,作出准备……的作为,doing an act preparatory to ...
延期,延期,adjournment
明確的認罪,明确的认罪,unequivocal guilty plea
企圖罪行,企图罪行,attempted offence
實質控制,实质控制,physical control
更不用說,更不用说,a fortiori
於案發後不久被發現管有贓物的法律原則,于案发后不久被发现管有赃物的法律原则,doctrine of recent possession
正式的申請,正式的申请,substantive application
涉嫌罪責的證據,涉嫌罪责的证据,inculpatory evidence
對事實的裁斷,对事实的裁断,finding of fact
公職人員行為失當,公职人员行为失当,misconduct in public office
字跡鑑證專家,字迹鉴证专家,handwriting expert
導致自己……入罪,导致自己……入罪,incrimination of self
要求控方證案,要求控方证案,put the prosecution to proof
明顯欠缺論據的陳詞,明显欠缺论据的陈词,patently unarguable submission
再犯者,再犯者,repeat offender
有犯罪或不誠實意圖,有犯罪或不诚实意图,criminal or dishonest intent
助控證據,助控证据,supporting evidence
同期執行的刑期,同期执行的刑期,concurrent sentence
在未經宣誓的情況下……證據,在未经宣誓的情况下……证据,unsworn evidence
對訟式刑事司法體系,对讼式刑事司法体系,adversarial system of criminal justice
一般審慎及盡力的人,一般审慎及尽力的人,ordinarily prudent and diligent man
真實、重大而迫切的危險,真实、重大而迫切的危险,"real, substantial and imminent danger"
嚴格法律責任罪行,严格法律责任罪行,offence of strict liability
法證科學專家/法證化驗師,法证科学专家/法证化验师,forensic scientist
構成罪行的不當行為,构成罪行的不当行为,culpable misconduct
未經宣誓所作的證言,未经宣誓所作的证言,unsworn testimony
罪行的……嚴重性,罪行的……严重性,gravity of the offence
不知情管有,不知情管有,innocent possession
串謀促致流產,串谋促致流产,conspiracy to procure a miscarriage
駕駛資格取消期間,驾驶资格取消期间,disqualification period
共同及各別的刑責,共同及各别的刑责,joint and several criminal liability
不誠實地意圖導致他人蒙受損失,不诚实地意图导致他人蒙受损失,dishonest intent to cause loss to another
推論證據,推论证据,inferential evidence
以虛假藉口促致他人作非法的性行為,以虚假借口促致他人作非法的性行为,procurement by false pretences
整體地考慮刑期,整体地考虑刑期,global view of sentence
提醒警誡,提醒警诫,reminded caution
陪審團退庭商議,陪审团退庭商议,jury retirement
無基礎的試探性問題,无基础的试探性问题,fishing expedition
內庭聆訊,内庭聆讯,hearing in chambers
個別及不同的罪行,个别及不同的罪行,separate and distinct offence
司法管轄權限,司法管辖权限,jurisdictional limit
清白解釋,清白解释,innocent explanation
遵照先例原則,遵照先例原则,stare decisis
決定因素,决定因素,determining factor
保持緘默的權利,保持缄默的权利,right to remain silent
司法互助,司法互助,mutual judicial assistance
承認控罪,承认控罪,plea of guilty
沒有爭議的案情,没有争议的案情,facts not in dispute
令誠信成疑,令诚信成疑,discredited
附表的危險藥物,附表的危险药物,scheduled dangerous drug
不獲接納,不获接纳,inadmissible
機會主義的爆竊者,机会主义的爆窃者,opportunistic burglar
較輕微罪行的裁決,较轻微罪行的裁决,lesser verdict
附表的危險藥物,附表的危险药物,scheduled dangerous drug
具體理由,具体理由,positive reason
獲法院證明的問題,获法院证明的问题,certified question
就證據所作的裁斷,就证据所作的裁断,evidential finding
罪責,罪责,culpability
協從一方,协从一方,secondary party
例外罪行,例外罪行,excepted offence
提出……檢控,提出……检控,bring ... prosecution
法庭的法律程序,法庭的法律程序,curial proceedings
案例一覽表,案例一览表,list of authorities
最高判刑權限,最高判刑权限,maximum sentencing jurisdiction
絕對刑責的罪行,绝对刑责的罪行,absolute offence
合資格,合资格,qualified
第二環節,第二环节,second limb
擾亂秩序的行為,扰乱秩序的行为,disorderly conduct
相對可能性,相对可能性,balance of probabilities
技術上干犯罪行,技术上干犯罪行,technical offence
整體刑罰的原則,整体刑罚的原则,the totality principle
絕對的酌情權,绝对的酌情权,unfettered discretion
串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
公開的作為,公开的作为,overt act
紀律處分程序,纪律处分程序,disciplinary proceedings
參與的程度,参与的程度,degree of involvement
會面視像紀錄,会面视像纪录,video recorded interview
以聲稱擁有權利作為辯護,以声称拥有权利作为辩护,defence of claim of right
出庭發言權,出庭发言权,right of audience
排除(證據)規則,排除(证据)规则,exclusionary rule
特殊權力,特殊权力,extraordinary power
對訟式審訊,对讼式审讯,adversarial trial
招認供詞,招认供词,confession statement
申請照准,申请照准,order in terms
無可抗拒的推斷,无可抗拒的推断,irresistible inference
權威人士,权威人士,person in authority
具說服力的判例,具说服力的判例,persuasive authority
一般合理及誠實人的客觀標準,一般合理及诚实人的客观标准,the ordinary objective standards of reasonable and honest people
共同證人,共同证人,common witness
法律爭辯,法律争辩,legal argument
拘押令,拘押令,committal order
宣讀判詞,宣读判词,delivery of the judgment
重要的聲言,重要的声言,material averment
犯罪要件,犯罪要件,ingredient of offence
類似司法的職能,类似司法的职能,quasi-judicial function
精神狀態,精神状态,mental state
相關證據,相关证据,relevant evidence
已確立的判刑政策,已确立的判刑政策,settled sentencing policy
宵禁令,宵禁令,curfew order
不容,不容,not amenable to
全面而真實地披露,全面而真实地披露,full and true disclosure
提出抗辯的案件,提出抗辩的案件,contested case
緩刑令,缓刑令,order of suspended sentence
證據的關鍵性,证据的关键性,materiality of the evidence
判刑準則,判刑准则,tariff
較輕微的交替控罪,较轻微的交替控罪,lesser alternative
親口所述的未經證實之言,亲口所述的未经证实之言,ipse dixit
從犯,从犯,secondary offender
就幾乎必然發生的情況給予指引,就几乎必然发生的情况给予指引,virtual certainty direction
陳詞大綱,陈词大纲,skeleton submission
具高度證案價值的證據,具高度证案价值的证据,highly probative evidence
刑事罪責程度,刑事罪责程度,degree of criminal culpability
反駁的責任,反驳的责任,burden of rebuttal
判刑前評估專責小組,判刑前评估专责小组,pre-sentence assessment panel
可信程度的指引,可信程度的指引,credibility direction
持續罪行,持续罪行,continuing offence
以案件呈述方式上訴,以案件呈述方式上诉,appeal by way of case stated
恰當的刑罰,恰当的刑罚,appropriate sentence
入境事務處的旅客嫌疑人名單,入境事务处的旅客嫌疑人名单,Immigration Watch List
特赦證人,特赦证人,immunised witness
虛耗訟費命令,虚耗讼费命令,wasted costs orders
慣常減刑幅度,惯常减刑幅度,usual discount
理智及思想正常的人,理智及思想正常的人,sensible and right-minded people
全面而真實地披露,全面而真实地披露,full and true disclosure
減輕刑罰的因素,减轻刑罚的因素,mitigating factors
保持緘默的權利,保持缄默的权利,right to remain silent
於案發後不久被發現管有贓物的法律原則,于案发后不久被发现管有赃物的法律原则,doctrine of recent possession
劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis supplied
隱含風險,隐含风险,latent risk
不提證據起訴,不提证据起诉,offer no evidence
整體犯罪行為,整体犯罪行为,overall criminality
刑責程度,刑责程度,level of criminality
即時及長期監禁,即时及长期监禁,immediate and long-term prison sentence
積犯,积犯,persistent offender
移交命令完備,移交命令完备,the transfer order ... perfected
判刑選擇,判刑选择,sentencing option
關鍵證人,关键证人,material witness
同類原則,同类原则,ejusdem generis
逮捕,逮捕,arrest
串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
偏離指引行事,偏离指引行事,departure from the guideline
引導性問題,引导性问题,leading question
訴訟時效,诉讼时效,time-bar for actions
公正恰當的判刑,公正恰当的判刑,just and proper sentence
慣常的判刑幅度,惯常的判刑幅度,customary range of sentence
無可抗拒的推斷,无可抗拒的推断,irresistible inference
有組織罪行,有组织罪行,organized crime
商業性質的販毒,商业性质的贩毒,commercial trafficking
以合理的努力作為免責辯護,以合理的努力作为免责辩护,defence of reasonable diligence
串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
分享訴訟成果,分享诉讼成果,champerty
取消駕駛資格令,取消驾驶资格令,disqualification order
無證案價值,无证案价值,non-probative
不能避免的推論,不能避免的推论,unavoidable inference
可行的判刑選擇,可行的判刑选择,viable sentencing option
書面交付審判,书面交付审判,paper committal
阻撓在正當執行職務的……警務人員,阻挠在正当执行职务的……警务人员,obstructs ... police officer in the due execution of his duty
提點記憶的文件,提点记忆的文件,document used ... to refresh ... memory
據法權產,据法权产,things in action
死因不明,死因不明,open verdict
定罪已失時效計劃,定罪已失时效计划,spent conviction scheme
教導所令,教导所令,training centre order
保釋命令,保释命令,order for bail
不誠實地意圖導致他人蒙受損失,不诚实地意图导致他人蒙受损失,dishonest intent to cause loss to another
核證譯本,核证译本,certified translation
應保,应保,answering to bail
造成偏見的影響,造成偏见的影响,prejudicial effect
暫時吊銷牌照期,暂时吊销牌照期,period of suspension
清白動機,清白动机,innocent motive
多條罪名的公訴書,多条罪名的公诉书,multi-count indictment
中級上訴,中级上诉,intermediate appeal
招認供詞,招认供词,confession statement
潛在危險,潜在危险,latent risk
須予報告的死亡個案,须予报告的死亡个案,reportable death
審訊的法庭,审讯的法庭,court of trial
不得……接納為證據,不得……接纳为证据,inadmissible as evidence
環境證據,环境证据,circumstantial evidence
內在或然率,内在或然率,inherent probabilities
整體罪行,整体罪行,overall criminality
法官對陪審團的結案指引,法官对陪审团的结案指引,summing up direction
主事者,主事者,person who may have power to take appropriate action
公職人員行為失當,公职人员行为失当,misconduct in public office
正式聆訊[相對程序上的爭議],正式聆讯[相对程序上的争议],substantive hearing
不可推翻……的推定,不可推翻……的推定,presumption ... conclusive
公正恰當的判刑,公正恰当的判刑,just and proper sentence
作為及意圖,作为及意图,acts and intents
濫用司法程序,滥用司法程序,abuse of process
定罪是否恰當問題,定罪是否恰当问题,propriety of conviction
用以恢復記憶的文件,用以恢复记忆的文件,document used ... to refresh ... memory
特級證人,特级证人,supergrass
嚴重違反,严重违反,gross breach
破壞誠信,破坏诚信,breach of trust
具關鍵性的錯誤指引,具关键性的错误指引,material misdirection
未有披露,未有披露,non-disclosure
一系列相關的案例,一系列相关的案例,line of authorities
犯罪傾向,犯罪倾向,propensity to commit crime
逃犯,逃犯,fugitive offender
不服判刑的上訴,不服判刑的上诉,appeal against sentence
補缺除弊的原則,补缺除弊的原则,remedial construction
無須答辯,无须答辩,no case to answer
合理努力,合理努力,reasonable diligence
訴訟以外一方,诉讼以外一方,outside party
明顯欠缺論據的陳詞,明显欠缺论据的陈词,patently unarguable submission
令……成為無效,令……成为无效,nullify
壓迫,压迫,oppression
關鍵時間,关键时间,material time
爭議,争议,contentious
沒有足夠證據,没有足够证据,insufficient evidence
判刑準則,判刑准则,tariff
刑事紀錄,刑事纪录,criminal records
字跡鑑證專家,字迹鉴证专家,handwriting expert
承認,承认,admission
證據的可接納性問題,证据的可接纳性问题,matter of admissibility
在所有關鍵時候,在所有关键时候,at all material times
懲罰性條文嚴格釋義,惩罚性条文严格释义,strict interpretation of penal provision
令人信服的因素,令人信服的因素,cogent factor
沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
原審法庭,原审法庭,first instance tribunal
代替其父母地位的人,代替其父母地位的人,other person standing in loco parentis to him
合理懷疑,合理怀疑,reasonable suspicion
思想正常的人,思想正常的人,right-minded person
已確立的判刑政策,已确立的判刑政策,settled sentencing policy
有罪的推論,有罪的推论,inference of guilt
附帶爭論點,附带争论点,collateral issue
司法酌情權,司法酌情权,judicial discretion
更生改造,更生改造,rehabilitative treatment
煽惑,煽惑,incitement
疑點的利益,疑点的利益,benefit of ... doubt
知悉犯罪的推論,知悉犯罪的推论,inference of guilty knowledge
以威脅促致他人作非法的性行為,以威胁促致他人作非法的性行为,procurement by threats
宣告裁決,宣告裁决,delivery of verdict
在案發期間,在案发期间,at all material times
相互提供司法協助,相互提供司法协助,mutual judicial assistance
缺乏理據,缺乏理据,without merit
要求控方證案,要求控方证案,put the prosecution to proof
未經彙報案例,未经汇报案例,unreported case
一般及特別信託,一般及特别信讬,general and specific trust
罪行的……嚴重性,罪行的……严重性,gravity of the offence
釋義規則,释义规则,rules of construction
表面的案,表面的案,prima facie case
質疑供詞的採納性的權利,质疑供词的采纳性的权利,right to challenge admissibility
共同串謀者,共同串谋者,co-conspirator
監禁刑罰,监禁刑罚,custodial sentence
還押羈留,还押羁留,remand in custody
總體量刑原則,总体量刑原则,principle of totality
較輕的判刑選擇,较轻的判刑选择,softer option
罰款級數,罚款级数,level of fines
司法過程,司法过程,in the course of justice
撤回問題,撤回问题,withdraw the question
獲法院給予證明的法律論點,获法院给予证明的法律论点,certified point of law
庭上辨認犯人欄內的被告,庭上辨认犯人栏内的被告,dock identification
法定免責辯護,法定免责辩护,statutory defence
清白解釋,清白解释,innocent explanation
具體的裁斷,具体的裁断,specific finding
刑責,刑责,criminal culpability
案情摘要,案情摘要,brief facts
循簡易程序審訊藐視法庭案,循简易程序审讯藐视法庭案,summary contempt proceedings
選擇不援引證據,选择不援引证据,elects not to adduce evidence
絕對刑責的罪行,绝对刑责的罪行,absolute offence
將案由述要送交存檔,将案由述要送交存档,file a case
擬定控罪,拟定控罪,framing of charge
以口頭方式……提供證據,以口头方式……提供证据,give evidence ... viva voce
事後的,事后的,ex post facto
適當的刑期基準,适当的刑期基准,appropriate starting point
以非公開形式進行審訊,以非公开形式进行审讯,trial in camera
判刑完畢,判刑完毕,perfect the sentence
施用藥物以獲得……非法的性行為,施用药物以获得……非法的性行为,administering drugs to obtain ... unlawful sexual act
在官方機構看管下,在官方机构看管下,in official custody
犯罪得益,犯罪得益,criminal gains
控辯雙方承認的事實,控辩双方承认的事实,admitted facts
串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
未經宣誓所作的證言,未经宣誓所作的证言,unsworn testimony
潛在風險的因素,潜在风险的因素,latent risk factor
判刑原則,判刑原则,sentencing principles
親口所述的未經證實之言,亲口所述的未经证实之言,ipse dixit
